receiving_offensive_yds
1.0
13.0
42.0
0.0
39.0
11.0
18.0
31.0
29.0
22.0
5.0
0.0
20.0
0.0
12.0
3.0
21.0
0.0
0.0
15.0
12.0
61.0
0.0
17.0
10.0
64.0
61.0
5.0
0.0
123.0
136.0
40.0
19.0
61.0
26.0
9.0
9.0
50.0
13.0
0.0
12.0
14.0
55.0
11.0
66.0
0.0
10.0
0.0
10.0
26.0
5.0
10.0
29.0
25.0
53.0
1.0
1.0
75.0
56.0
10.0
6.0
33.0
24.0
28.0
24.0
19.0
71.0
0.0
19.0
0.0
0.0
0.0
19.0
45.0
0.0
15.0
8.0
19.0
0.0
4.0
0.0
3.0
59.0
5.0
31.0
3.0
72.0
22.0
58.0
0.0
0.0
0.0
0.0
55.0
0.0
29.0
11.0
11.0
34.0
11.0
45.0
4.0
32.0
22.0
30.0
23.0
32.0
31.0
12.0
14.0
35.0
76.0
22.0
61.0
24.0
37.0
13.0
18.0
16.0
46.0
28.0
13.0
0.0
9.0
67.0
9.0
14.0
25.0
0.0
5.0
0.0
0.0
0.0
6.0
37.0
4.0
6.0
32.0
6.0
6.0
35.0
0.0
28.0
14.0
32.0
40.0
38.0
40.0
7.0
33.0
6.0
4.0
18.0
19.0
53.0
49.0
20.0
11.0
47.0
21.0
6.0
4.0
0.0
10.0
36.0
0.0
56.0
16.0
25.0
17.0
22.0
34.0
20.0
25.0
25.0
65.0
5.0
19.0
31.0
28.0
11.0
67.0
8.0
18.0
31.0
11.0
19.0
5.0
0.0
38.0
22.0
0.0
0.0
0.0
24.0
30.0
10.0
48.0
0.0
29.0
12.0
18.0
31.0
35.0
12.0
16.0
13.0
7.0
47.0
31.0
20.0
6.0
14.0
12.0
42.0
67.0
16.0
20.0
119.0
8.0
16.0
14.0
19.0
11.0
84.0
27.0
6.0
48.0
0.0
10.0
64.0
7.0
30.0
73.0
9.0
6.0
13.0
4.0
21.0
27.0
16.0
10.0
4.0
5.0
15.0
31.0
23.0
41.0
9.0
23.0
25.0
27.0
19.0
41.0
27.0
10.0
0.0
11.0
63.0
86.0
58.0
23.0
20.0
92.0
9.0
62.0
35.0
35.0
56.0
13.0
45.0
76.0
95.0
41.0
14.0
11.0
53.0
49.0
6.0
23.0
24.0
5.0
48.0
7.0
5.0
6.0
33.0
11.0
14.0
63.0
41.0
37.0
38.0
12.0
24.0
34.0
21.0
4.0
28.0
28.0
30.0
60.0
91.0
66.0
8.0
27.0
7.0
13.0
54.0
3.0
0.0
23.0
0.0
5.0
0.0
21.0
6.0
