player_id,name,hometown,positions,year,height,weight,season_wins,season_losses,season_games,season_ppg,season_opp_ppg,season_total,season_opp_total,class,performances,height_inches,weight_lbs
-7096092013259290250,terrence curtis,"atlanta, ga.",db,2024,"6'0""",170 lbs,0,0,4,12.25,0,49.0,0,,[],6.0,170.0
-7601582091192627769,josh williamson,"snellville, ga.",wr,2020,"5'10""",145 lbs,0,0,5,29.6,0,148.0,0,fr.,[],15.0,145.0
-7601582091192627769,josh williamson,"snellville, ga.",wr,2023,"5'10""",150 lbs,0,0,9,26.11,0,235.0,0,r-so.,[],15.0,150.0
-7601582091192627769,josh williamson,"snellville, ga.",wr,2024,"5'10""",145 lbs,0,0,4,12.25,0,49.0,0,,[],15.0,145.0
2013317384332023666,eli leiataua,"hinesville, ga.","lb,rb,te",2020,"5'11""",215 lbs,0,0,5,29.6,0,148.0,0,fr.,[],16.0,215.0
2013317384332023666,eli leiataua,"hinesville, ga.","lb,rb,te",2022,"5'11""",215 lbs,0,0,11,27.45,0,302.0,0,jr.,[],16.0,215.0
2013317384332023666,eli leiataua,"hinesville, ga.","lb,rb,te",2023,"5'11""",220 lbs,0,0,9,26.11,0,235.0,0,so.,[],16.0,220.0
2013317384332023666,eli leiataua,"hinesville, ga.","lb,rb,te",2024,"5'11""",215 lbs,0,0,4,12.25,0,49.0,0,,[],16.0,215.0
-7496791178743968466,jaiden kimble,"columbia, s.c.",lb,2020,"6'0""",195 lbs,0,0,5,29.6,0,148.0,0,fr.,[],6.0,195.0
-7496791178743968466,jaiden kimble,"columbia, s.c.",lb,2024,"6'0""",195 lbs,0,0,4,12.25,0,49.0,0,,[],6.0,195.0
-3761170310318522623,jonathan mathis,"norcross, ga.",db,2020,"6'0""",195 lbs,0,0,5,29.6,0,148.0,0,r-fr.,[],6.0,195.0
-3761170310318522623,jonathan mathis,"norcross, ga.",db,2024,"6'0""",195 lbs,0,0,4,12.25,0,49.0,0,,[],6.0,195.0
8428107225127743901,ty brewer,"carrolton, ga.",te,2020,"5'11""",230 lbs,0,0,5,29.6,0,148.0,0,fr.,[],16.0,230.0
8428107225127743901,ty brewer,"carrolton, ga.",te,2024,"5'11""",230 lbs,0,0,4,12.25,0,49.0,0,,[],16.0,230.0
9176102896838582055,danarius johnson,"patterson, ga.","db,lb,olb",2020,"5'11""",220 lbs,0,0,5,29.6,0,148.0,0,fr.,[],16.0,220.0
9176102896838582055,danarius johnson,"patterson, ga.","db,lb,olb",2022,"5'11""",195 lbs,0,0,11,27.45,0,302.0,0,r-so.,[],16.0,195.0
9176102896838582055,danarius johnson,"patterson, ga.","db,lb,olb",2023,"5'11""",190 lbs,0,0,9,26.11,0,235.0,0,so.,[],16.0,190.0
9176102896838582055,danarius johnson,"patterson, ga.","db,lb,olb",2024,"5'11""",220 lbs,0,0,4,12.25,0,49.0,0,,[],16.0,220.0
