name,season,is_home_game,opponent,prev_game_weather,prev_game_temperature,prev_game_wind,prev_game_duration,prev_game_kickoff_time,prev_game_attendance,prev_game_total_points_scored,prev_game_average_points_scored,prev_game_total_first_downs,prev_game_passing_first_downs,prev_qb_passing_completions,prev_qb_passing_attempts,prev_qb_passing_interceptions,prev_qb_passing_avg_per_attempt,prev_qb_passing_avg_per_completion,prev_qb_passing_touchdowns,prev_total_offense_yards,prev_total_offense_plays,prev_game_receiving_yards,prev_game_receptions,prev_game_touchdowns,prev_game_longest_reception,prev_first_downs
"Adeleke,  Adeolu",2019,True,Monmouth,Clear,60,Light,3:16,2:05 PM,4464,262,37.43,18,3,3,16,1,7.2,38.3,1,407,61,0,0,0,0,0
"Adeleke,  Adeolu",2019,True,North Alabama,Windy & Overcast,71 deg,,2:48,3:05,4546,109,36.33,26,0,0,4,0,0.0,0.0,0,490,67,0,0,0,0,0
"Adeleke,  Adeolu",2019,False,Hampton,cloudy,40s,much,2:43,1 pm,3612,84,42,11,4,12,27,3,2.4,5.4,1,126,52,0,0,0,0,0
"Adeleke,  Adeolu",2019,True,Point University,Partly cloudy,Mid 80s,Calm,2:49,6:05 PM,6621,164,54.67,24,5,6,7,0,22.7,26.5,3,592,62,0,0,0,0,0
"Adeleke,  Adeolu",2019,False,Campbell,Sunny,51,W 1mph,3:10,1:05 PM,5039,117,39,24,12,15,33,2,7.1,15.5,1,386,71,0,0,0,0,0
"Cousin,  Iaan",2019,False,Hampton,cloudy,40s,much,2:43,1 pm,3612,84,42,11,4,12,27,3,2.4,5.4,1,126,52,0,0,0,0,0
"Cousin,  Iaan",2019,True,Point University,Partly cloudy,Mid 80s,Calm,2:49,6:05 PM,6621,164,54.67,24,5,6,7,0,22.7,26.5,3,592,62,0,0,0,0,0
"Cousin,  Iaan",2019,True,Gardner-Webb,Periods of Rain,62,S at 6,3:00,2:05 pm,4383,208,34.67,17,2,3,6,0,4.7,9.3,0,350,59,0,0,0,0,0
"Daniels,  Preston",2019,False,Hampton,cloudy,40s,much,2:43,1 pm,3612,84,42,11,4,12,27,3,2.4,5.4,1,126,52,0,0,0,0,0
"Daniels,  Preston",2019,True,Gardner-Webb,Periods of Rain,62,S at 6,3:00,2:05 pm,4383,208,34.67,17,2,3,6,0,4.7,9.3,0,350,59,0,0,0,0,0
"Farrow,  Nykeem",2019,True,Point University,Partly cloudy,Mid 80s,Calm,2:49,6:05 PM,6621,164,54.67,24,5,6,7,0,22.7,26.5,3,592,62,0,0,0,0,0
