prev_solo_tackles,prev_assisted_tackles,prev_total_tackles,prev_tackles_for_loss_yards,prev_sacks_yards,prev_interceptions,prev_pass_deflections,prev_forced_fumbles,prev_fumble_recoveries,prev_blocked_kicks,total_tackles,season
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2019
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,2021
4.0,3.0,7.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,6,2022
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,2021
4.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2022
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2021
1.0,3.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,43,2019
1.0,3.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,43,2019
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2021
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2019
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2019
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,2021
1.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36,2022
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2019
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2021
1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,2022
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2022
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,2022
8.0,2.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4,2019
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,2021
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2019
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2021
1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2022
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2022
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2021
2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2022
34.0,9.0,43.0,15.0,0.0,0.0,5.0,1.0,0.0,0.0,49,2019
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2022
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2021
0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2022
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,2022
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2019
0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,2021
3.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2022
