name,season,major,height,weight,hometown,position,games_played,games_started,solo_tackles,assisted_tackles,total_tackles,tackles_for_loss_yards,sacks_yards,interceptions,pass_deflections,forced_fumbles,fumble_recoveries,blocked_kicks,tackles_for_loss,sacks,prev_games_played,prev_games_started,prev_solo_tackles,prev_assisted_tackles,prev_total_tackles,prev_tackles_for_loss,prev_tackles_for_loss_yards,prev_sacks,prev_sacks_yards,prev_interceptions,prev_pass_deflections,prev_forced_fumbles,prev_fumble_recoveries,prev_blocked_kicks
"clemons, yesiah",2022,,70,200,"griffin, ga.",rb,11,2,2,0,2,0.0,0.0,0,0,0,0,0,0.0,0.0,11.0,0.0,2.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"compton, jeremiah",2019,,73,191,"waverly, ga.",db,13,0,9,3,12,0.0,0.0,0,0,0,1,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"cousin, iaan",2021,,72,165,"carrollton, ga.",rb,13,4,1,0,1,0.0,0.0,0,0,0,0,0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"cousin, iaan",2022,,72,160,"carrollton, ga.",rb,5,1,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,13.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"cummins, conor",2022,,73,175,"marietta, ga.",k,11,0,1,1,2,0.0,0.0,0,0,0,0,0,0.0,0.0,3.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"daniels, preston",2021,,71,250,"sandersville, ga.",rb,12,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"daniels, preston",2022,,71,255,"sandersville, ga.",rb,9,8,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"david, daniel",2019,,73,212,"hoschton, ga.",qb,11,10,2,0,2,0.0,0.0,0,0,0,0,0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"desmond johnson, jr.",2019,,74,233,"rome, ga.",dl,14,10,21,20,41,63.0,38.0,0,0,1,0,0,17.0,7.0,13.0,13.0,24.0,9.0,33.0,8.5,37.0,2.0,16.0,0.0,0.0,2.0,1.0,0.0
"drake, quae",2019,,74,193,"wadley, al.",db,12,0,11,7,18,3.0,0.0,0,1,0,0,0,2.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"ficklin, kevin",2019,,66,187,"dacula, ga.",rb,14,5,0,1,1,0.0,0.0,0,0,0,0,0,0.0,0.0,13.0,0.0,4.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"finer, connor",2022,,74,215,"new port richey, fla.",te,10,0,0,1,1,0.0,0.0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"foster, isaac",2019,,70,165,"summerville, ga.",rb,8,7,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,13.0,0.0,3.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"foster, isaac",2021,,70,170,"summerville, ga.",rb,3,3,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,8.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"foster, isaac",2022,,70,175,"summerville, ga.",rb,11,9,1,1,2,0.0,0.0,0,0,0,0,0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"gamble, chance",2022,,74,170,"fitzgerald, ga.",db,10,10,36,13,49,2.0,0.0,3,5,0,2,0,1.0,0.0,5.0,0.0,6.0,1.0,7.0,1.0,8.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0
