season,name,major,height,weight,hometown,position,games_played,games_started,passing_yards,pass_completions,pass_attempts,interceptions_thrown,passing_touchdowns,longest_completion,pass_completion_percentage,average_yards_per_pass,average_passing_yards_per_game,rushing_attempts,rushing_yards,rushing_touchdowns,longest_rush,average_yards_per_rush,average_rushing_yards_per_game
2024,"diggs, alexander",finance,69,185,"snellville, ga.",rb,2,0,,,,,,,,,,2,3,0,5,1.5,1.5
2024,"benefield, michael",exercise science (ms),67,205,"atlanta, ga.",rb,4,3,,,,,,,,,,30,82,0,10,2.7,20.5
2024,"clemons, yesiah",business administration (mba),70,210,"griffin, ga.",rb,4,0,,,,,,,,,,0,0,0,0,0.0,0.0
2024,"grier, kenai",health and physical activity leadership,69,190,"covington, ga.",rb,,,,,,,,,,,,,,,,,
2024,"ashley, qua",integrated health science,70,195,"dublin, ga.",rb,4,1,,,,,,,,,,37,55,0,10,1.5,13.8
2024,"scott, dj",sport management,73,195,"oviedo, fla.",rb,4,0,,,,,,,,,,0,0,0,0,0.0,0.0
2024,"brown, rob",health and physical activity leadership,72,200,"trion, ga.",rb,1,0,,,,,,,,,,0,0,0,0,0.0,0.0
