season,name,major,height,weight,hometown,position,games_played,games_started,receptions,receiving_yards,receiving_touchdowns,longest_reception,receptions_per_game,average_yards_per_reception,average_receiving_yards_per_game,total_touchdowns,total_points
2022,"gonzalez, oscar",,76,230,"dalton, ga.",wr,9,0,3,48,0,37,0.3,16.0,5.3,,
2022,"daniels, preston",,71,255,"sandersville, ga.",rb,9,8,1,19,1,19,0.1,19.0,2.1,5,30
2022,"cousin, iaan",,72,160,"carrollton, ga.",rb,5,1,11,146,0,28,2.2,13.3,29.2,0,0
2022,"farrow, nykeem",,69,170,"cochran, ga.",rb,5,0,2,72,0,72,0.4,36.0,14.4,0,0
2022,"foster, isaac",,70,175,"summerville, ga.",rb,11,9,27,314,2,40,2.5,11.6,28.5,6,36
2022,"marshall, chavis",,75,195,"sylvester, ga.",wr,11,10,11,179,0,38,1.0,16.3,16.3,,
2022,"benyard, gabriel",,70,175,"ocilla, ga.",rb,9,2,13,234,2,37,1.4,18.0,26.0,2,12
2022,"wallace, tykeem",,69,160,"thomasville, ga.",rb,10,0,0,0,0,0,0.0,0.0,0.0,0,0
2022,"ledet, marquis",,72,205,"marietta, ga.",rb,8,1,1,5,0,5,0.1,5.0,0.6,,
2022,"ashley, qua",,70,185,"dublin, ga.",rb,1,0,0,0,0,0,0.0,0.0,0.0,,
2022,"clemons, yesiah",,70,200,"griffin, ga.",rb,11,2,1,53,1,53,0.1,53.0,4.8,1,6
2022,"benefield, michael",,67,190,"atlanta, ga.",rb,10,7,2,32,0,20,0.2,16.0,3.2,0,0
2022,"diggs, alexander",,69,190,"snellville, ga.",rb,3,0,0,0,0,0,0.0,0.0,0.0,,
2022,"finer, connor",,74,215,"new port richey, fla.",te,10,0,1,29,0,29,0.1,29.0,2.9,,
2022,"bohannon, blake",,73,200,"woodstock, ga.",wr,11,10,12,213,1,61,1.1,17.8,19.4,1,6
2022,"pinholster, carter",,73,190,"fort payne, ala.",wr,4,0,0,0,0,0,0.0,0.0,0.0,0,0
2022,"kent, carson",,76,230,"milton, ga.",te,1,0,0,0,0,0,0.0,0.0,0.0,0,0
2022,"darnell, rowan",,76,210,"johns creek, ga.",wr,3,0,0,0,0,0,0.0,0.0,0.0,0,0
