season,name,major,height,weight,hometown,position,games_played,games_started,passing_yards,pass_completions,pass_attempts,interceptions_thrown,passing_touchdowns,longest_completion,pass_completion_percentage,average_yards_per_pass,average_passing_yards_per_game,rushing_attempts,rushing_yards,rushing_touchdowns,longest_rush,average_yards_per_rush,average_rushing_yards_per_game
2021,"murphy, jonathan",,72,195,"los angeles, calif.",qb,7,0,265,12,26,1,3,55,.46,22.1,37.9,64,359,4,36,5.6,51.3
2021,"shepherd, xavier",,72,205,"nashville, tenn.",qb,13,12,1341,77,123,3,15,56,.63,17.4,103.2,240,867,23,56,3.6,66.7
2021,"hardy, deangelo",,70,175,"chattanooga, tenn.",qb,8,0,0,0,2,0,0,0,.00,0.0,0.0,12,26,0,8,2.2,3.3
2021,"clardy, ladarius",,72,170,"pensacola, fla.",qb,,,,,,,,,,,,,,,,,
2021,"fedd, arendez",,73,215,"locust grove, ga.",qb,1,0,,,,,,,,,,,,,,,
