season,name,major,height,weight,hometown,position,games_played,games_started,passing_yards,pass_completions,pass_attempts,interceptions_thrown,passing_touchdowns,longest_completion,pass_completion_percentage,average_yards_per_pass,average_passing_yards_per_game,rushing_attempts,rushing_yards,rushing_touchdowns,longest_rush,average_yards_per_rush,average_rushing_yards_per_game
2019,"david, daniel",,73,212,"hoschton, ga.",qb,11,10,551,27,65,3,2,40,.42,20.4,50.1,131,473,14,18,3.6,43.0
2019,"bryant, tommy",,73,190,"tuscaloosa, ala.",qb,11,3,474,21,40,1,7,67,.53,22.6,43.1,118,683,16,50,5.8,62.1
2019,"murphy, jonathan",,72,190,"los angeles, calif.",qb,4,1,23,2,10,0,1,13,.20,11.5,5.8,67,420,5,61,6.3,105.0
2019,"shepherd, xavier",,72,190,"nashville, tenn.",qb,4,0,6,1,1,0,0,6,1.00,6.0,1.5,5,16,0,10,3.2,4.0
