season,name,major,height,weight,hometown,position,games_played,games_started,solo_tackles,assisted_tackles,total_tackles,tackles_for_loss_yards,sacks_yards,interceptions,pass_deflections,forced_fumbles,fumble_recoveries,blocked_kicks,tackles_for_loss,sacks
2019,"reed, tj",,69,173,"daphne, ala.",rb,14,2,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0
2019,"david, daniel",,73,212,"hoschton, ga.",qb,11,10,2,0,2,0.0,0.0,0,0,0,0,0,0.0,0.0
2019,"grier, antavius",,69,158,"jackson, ga.",rb,10,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0
2019,"walker, dorian",,72,181,"tallulah, la.",db,13,9,21,4,25,1.0,0.0,1,1,0,3,0,1.0,0.0
2019,"bryant, tommy",,73,190,"tuscaloosa, ala.",qb,11,3,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0
2019,"drake, quae",,74,193,"wadley, al.",db,12,0,11,7,18,3.0,0.0,0,1,0,0,0,2.0,0.0
2019,"adeleke, adeolu",,70,189,"conyers, ga.",rb,11,0,1,0,1,0.0,0.0,0,0,0,0,0,0.0,0.0
2019,"jackson, jalen",,74,197,"powder springs, ga.",wr,14,0,0,0,0,0.0,0.0,0,0,0,0,1,0.0,0.0
2019,"foster, isaac",,70,165,"summerville, ga.",rb,8,7,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0
2019,"cousin, iaan",,72,165,"carrollton, ga.",rb,3,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0
2019,"marshall, chavis",,75,179,"sylvester, ga.",wr,10,0,0,1,1,0.0,0.0,0,0,0,0,0,0.0,0.0
2019,"hancock, kj",,73,210,"suwanee, ga.",wr,14,3,0,0,0,0.0,0.0,0,1,0,0,0,0.0,0.0
2019,"ficklin, kevin",,66,187,"dacula, ga.",rb,14,5,0,1,1,0.0,0.0,0,0,0,0,0,0.0,0.0
2019,"mason, cincere",,72,212,"atlanta, ga.",db,14,13,27,15,42,3.0,0.0,1,4,1,1,0,2.5,0.0
2019,"montgomery, markeith",,69,172,"flintstone, ga.",db,12,3,21,4,25,6.0,0.0,3,7,0,1,0,1.5,0.0
2019,"murphy, jonathan",,72,190,"los angeles, calif.",qb,4,1,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0
2019,"compton, jeremiah",,73,191,"waverly, ga.",db,13,0,9,3,12,0.0,0.0,0,0,0,1,0,0.0,0.0
2019,"larry, le'vonte",,69,181,"jesup, ga.",db,14,10,28,21,49,4.0,3.0,1,7,1,0,0,1.0,0.5
2019,"shepherd, xavier",,72,190,"nashville, tenn.",qb,4,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0
2019,"burks, je'cory",,72,167,"perry, ga.",db,12,0,1,1,2,0.0,0.0,0,0,0,0,0,0.0,0.0
2019,"pettway, demetrius",,73,186,"phenix city, ala.",lb,12,12,25,11,36,10.0,0.0,2,5,0,0,0,1.0,0.0
2019,"outlaw, sam",,73,221,"cumming, ga.",rb,5,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0
2019,"abisoye, adesola",,70,186,"loganville, ga.",db,13,1,7,3,10,1.0,0.0,1,4,0,0,2,1.0,0.0
2019,"loden, cole",,71,176,"st. mary's, ga.",db,14,3,20,5,25,3.0,0.0,1,1,0,0,0,1.0,0.0
2019,"perry, bryson",,69,181,"canton, ga.",db,13,6,30,9,39,7.0,0.0,1,4,2,0,0,4.0,0.0
2019,"daniels, preston",,71,225,"sandersville, ga.",rb,4,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0
2019,"nelson, clayton",,72,188,"buford, ga.",db,4,0,1,0,1,0.0,0.0,0,0,0,0,0,0.0,0.0
2019,"henderson, troy",,71,223,"cleveland, ohio",lb,14,0,26,17,43,2.0,0.0,0,0,1,0,0,2.0,0.0
2019,"rechsteiner, bronson",,72,230,"acworth, ga.",rb,14,11,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0
2019,"radam, cade",,72,205,"canton, ga.",rb,2,0,1,0,1,0.0,0.0,0,0,0,0,0,0.0,0.0
2019,"taylor, kareem",,72,223,"rincon, ga.",lb,12,8,30,26,56,32.0,10.0,0,0,1,0,0,10.0,1.5
2019,"armstrong, bryson",,71,212,"marietta, ga.",lb,14,13,51,44,95,40.0,19.0,1,3,2,1,1,12.0,3.5
2019,"jenkins, william",,72,200,"decatur, ga.",lb,1,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0
2019,"ness, jack",,72,203,"buford, ga.",lb,8,0,2,0,2,0.0,0.0,0,0,0,0,0,0.0,0.0
2019,"louis, camari",,70,180,"moultrie, ga.",db,3,0,1,0,1,0.0,0.0,0,0,0,0,0,0.0,0.0
2019,"mills, courtney",,73,240,"powder springs, ga.",lb,12,0,5,7,12,8.0,8.0,0,0,0,0,0,2.0,1.0
2019,"patrick, charlie",,72,215,"atlanta, ga.",lb,11,7,19,18,37,16.0,10.0,1,3,0,0,0,5.5,3.0
2019,"jones, tanner",,70,174,"kennesaw, ga.",wr,12,0,4,0,4,0.0,0.0,0,0,0,0,1,0.0,0.0
2019,"glover, kyle",,71,204,"eastman, ga.",rb,14,3,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0
2019,"bates, chance",,72,248,"muscle shoals, ala.",lb,14,7,29,16,45,9.0,0.0,0,0,0,0,0,4.0,0.0
2019,"paxton, terrell",,72,304,"stone mountain, ga.",ol,13,12,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0
2019,"allen, kelcy",,73,267,"smith station, ala.",dl,10,0,7,4,11,3.0,1.0,0,0,0,0,0,1.5,0.5
2019,"moore, tyler",,73,259,"phenix city, ala.",dl,12,5,7,12,19,5.0,0.0,0,0,0,2,0,1.5,0.0
2019,"butcher, andrew",,75,262,"alpharetta, ga.",dl,9,8,8,8,16,9.0,5.0,0,0,0,0,0,2.5,2.0
2019,"loden, cade",,72,170,"st. mary's, ga.",db,2,0,0,1,1,0.0,0.0,0,0,0,0,0,0.0,0.0
