season,name,major,height,weight,hometown,position,games_played,games_started,passing_yards,pass_completions,pass_attempts,interceptions_thrown,passing_touchdowns,longest_completion,pass_completion_percentage,average_yards_per_pass,average_passing_yards_per_game,rushing_attempts,rushing_yards,rushing_touchdowns,longest_rush,average_yards_per_rush,average_rushing_yards_per_game
2023,"murphy, jonathan",interdisciplinary studies,72,190,"los angeles, calif.",qb,8,8,1190,85,158,3,8,61,.54,14.0,148.8,116,401,7,57,3.5,50.1
2023,"bryson, davis",sport management,69,190,"woodbridge, va.",qb,3,0,53,2,5,0,0,30,.40,26.5,17.7,13,139,2,36,10.7,46.3
2023,"bohannon, braden",sport management,73,180,"woodstock, ga.",qb,1,0,,,,,,,,,,,,,,,
2023,"mccarty, cole",business,71,190,"moody, ala.",qb,1,0,,,,,,,,,,,,,,,
