season,name,major,height,weight,hometown,position,games_played,games_started,receptions,receiving_yards,receiving_touchdowns,longest_reception,receptions_per_game,average_yards_per_reception,average_receiving_yards_per_game,total_touchdowns,total_points
2018,"mckenzie, jake",,72,212,"monroeville, ala.",rb,12,12,7,114,1,24,0.6,16.3,9.5,2,12
2018,"terry, shaquil",,69,172,"bessemer, ala.",rb,13,12,13,215,1,60,1.0,16.5,16.5,6,36
2018,"o'neal, caleb",,74,190,"chickamauga, ga.",wr,10,0,0,0,0,0,0.0,0.0,0.0,0,0
2018,"reed, tj",,69,173,"daphne, ala.",rb,11,0,6,125,3,41,0.5,20.8,11.4,5,30
2018,"adeleke, adeolu",,70,189,"conyers, ga.",rb,9,0,1,1,0,1,0.1,1.0,0.1,1,6
2018,"sumpter, justin",,75,217,"tyrone, ga.",wr,10,9,21,316,4,41,2.1,15.0,31.6,4,28
2018,"foster, isaac",,70,165,"summerville, ga.",rb,13,0,3,56,0,38,0.2,18.7,4.3,3,18
2018,"harper, xavier",,72,194,"hoschton, ga.",wr,12,10,8,105,1,43,0.7,13.1,8.8,1,6
2018,"chivers, trey",,71,200,"carrollton, ga.",rb,11,0,5,69,0,27,0.5,13.8,6.3,1,6
2018,"hancock, kj",,73,210,"suwanee, ga.",wr,12,3,1,40,0,40,0.1,40.0,3.3,0,0
2018,"jackson, jalen",,74,197,"powder springs, ga.",wr,1,0,0,0,0,0,0.0,0.0,0.0,0,0
2018,"grier, antavius",,69,158,"jackson, ga.",rb,4,0,1,4,0,4,0.3,4.0,1.0,1,6
2018,"holland, darnell",,70,195,"bowdon, ga.",rb,13,13,9,182,2,65,0.7,20.2,14.0,12,72
2018,"rechsteiner, bronson",,72,230,"acworth, ga.",rb,9,0,0,0,0,0,0.0,0.0,0.0,0,0
2018,"ficklin, kevin",,66,187,"dacula, ga.",rb,13,0,1,55,1,55,0.1,55.0,4.2,1,6
2018,"gonzalez, oscar",,76,209,"dalton, ga.",wr,2,0,0,0,0,0,0.0,0.0,0.0,,
2018,"glover, kyle",,71,204,"eastman, ga.",rb,12,1,1,9,0,9,0.1,9.0,0.8,1,6
2018,"walker, jordan",,74,178,"savannah, ga.",wr,9,3,1,13,0,13,0.1,13.0,1.4,0,0
2018,"thompson, justin",,70,168,"evans, ga.",,13,0,0,0,0,0,0.0,0.0,0.0,0,95
2018,"jackson, adrian",,74,221,"hoschton, ga.",te,1,0,0,0,0,0,0.0,0.0,0.0,0,0
2018,"pontrelli, ryan",,75,173,"cumming, ga.",wr,3,0,1,10,0,10,0.3,10.0,3.3,,
