name,"(2.995, 4.0]","(4.0, 5.0]","(5.0, 6.0]","(6.0, 7.0]","(7.0, 8.0]"
"ashley, qua",,inf,,,
"benefield, michael",,,,,-0.6052743758220843
"benyard, gabriel",2.106371905163083,,,,
"brown, rob",,,inf,,
"bryson, davis",-0.6491091241234176,,,,
"clemons, yesiah",,,,,inf
"daniels, preston",,,,,5.071715482202597
"diggs, alexander",,,,inf,
"foster, isaac",,,,,inf
"murphy, jonathan",,,,,0.12615161683274273
"wallace, tykeem",,,,,inf
