season,name,major,height,weight,hometown,position,games_played,games_started,rushing_attempts,rushing_yards,rushing_touchdowns,longest_rush,average_yards_per_rush,average_rushing_yards_per_game
2022,"cousin, iaan",,72,160,"carrollton, ga.",rb,5,1,8,12,0,20,1.5,2.4
2022,"bryson, davis",,69,175,"woodbridge, va.",qb,1,0,0,0,0,0,0.0,0.0
2022,"murphy, jonathan",,72,190,"los angeles, calif.",qb,6,3,107,386,9,57,3.6,64.3
2022,"farrow, nykeem",,69,170,"cochran, ga.",rb,5,0,7,22,0,8,3.1,4.4
2022,"shepherd, xavier",,72,205,"nashville, tenn.",qb,9,7,205,589,11,41,2.9,65.4
2022,"daniels, preston",,71,255,"sandersville, ga.",rb,9,8,84,423,4,46,5.0,47.0
2022,"foster, isaac",,70,175,"summerville, ga.",rb,11,9,72,420,4,43,5.8,38.2
2022,"hardy, deangelo",,70,185,"chattanooga, tenn.",qb,3,0,11,26,0,6,2.4,8.7
2022,"benyard, gabriel",,70,175,"ocilla, ga.",rb,9,2,30,202,0,28,6.7,22.4
2022,"ashley, qua",,70,185,"dublin, ga.",rb,1,0,0,0,0,0,0.0,0.0
2022,"wallace, tykeem",,69,160,"thomasville, ga.",rb,10,0,6,31,0,17,5.2,3.1
2022,"ledet, marquis",,72,205,"marietta, ga.",rb,8,1,7,15,0,4,2.1,1.9
2022,"brown, rob",,72,205,"trion, ga.",rb,2,0,0,0,0,0,0.0,0.0
2022,"benefield, michael",,67,190,"atlanta, ga.",rb,10,7,18,111,0,19,6.2,11.1
2022,"clemons, yesiah",,70,200,"griffin, ga.",rb,11,2,26,148,0,36,5.7,13.5
2022,"lay, jordan",,71,205,"hartwell, ga.",rb,10,0,51,141,0,11,2.8,14.1
2022,"diggs, alexander",,69,190,"snellville, ga.",rb,3,0,0,0,0,0,0.0,0.0
2022,"allen, carlos",,72,290,"atlanta, ga.",dl,11,6,1,31,0,31,31.0,2.8
