season,name,major,height,weight,hometown,position,games_played,games_started,passing_yards,pass_completions,pass_attempts,interceptions_thrown,passing_touchdowns,longest_completion,pass_completion_percentage,average_yards_per_pass,average_passing_yards_per_game,rushing_attempts,rushing_yards,rushing_touchdowns,longest_rush,average_yards_per_rush,average_rushing_yards_per_game
2024,"johnson, khalib",interdisciplinary studies,74,215,"birmingham, ala.",qb,2,0,0,0,3,1,0,0,.00,0.0,0.0,2,3,0,8,1.5,1.5
2024,"bryson, davis",sport management,69,190,"woodbridge, va.",qb,4,4,540,51,97,3,1,51,.53,10.6,135.0,42,89,0,14,2.1,22.3
2024,"iii, earl woods",media and entertainment,70,180,"hueytown, ala.",qb,,,,,,,,,,,,,,,,,
2024,"scheerhorn, lucas",exercise science,73,190,"spring, texas",qb,1,0,,,,,,,,,,,,,,,
2024,"bohannon, braden",sport management,73,180,"woodstock, ga.",qb,1,0,,,,,,,,,,,,,,,
2024,"clemmer, preston",biology,73,190,"alpharetta, ga.",qb,,,,,,,,,,,,,,,,,
