season,name,major,height,weight,hometown,position,games_played,games_started,rushing_attempts,rushing_yards,rushing_touchdowns,longest_rush,average_yards_per_rush,average_rushing_yards_per_game
2023,"benefield, michael",psychology,67,200,"atlanta, ga.",rb,8,5,70,441,4,75,6.3,55.1
2023,"wallace, tykeem",criminal justice,69,165,"thomasville, ga.",wr,8,0,3,16,0,14,5.3,2.0
2023,"bryson, davis",sport management,69,190,"woodbridge, va.",qb,3,0,13,139,2,36,10.7,46.3
2023,"murphy, jonathan",interdisciplinary studies,72,190,"los angeles, calif.",qb,8,8,116,401,7,57,3.5,50.1
2023,"daniels, preston",sport management,71,260,"sandersville, ga.",te,8,4,10,54,1,20,5.4,6.8
2023,"benyard, gabriel",sport management,70,185,"ocilla, ga.",rb,4,4,18,116,1,49,6.4,29.0
2023,"foster, isaac",business management,70,175,"summerville, ga.",wr,8,7,8,54,0,15,6.8,6.8
2023,"clemons, yesiah",business administration,70,215,"griffin, ga.",rb,8,0,24,126,0,14,5.3,15.8
2023,"grier, kenai",exercise science,69,200,"covington, ga.",rb,1,0,2,26,1,17,13.0,26.0
2023,"brown, rob",business,72,215,"trion, ga.",rb,6,0,3,11,0,7,3.7,1.8
2023,"scott, dj",sport management,73,200,"oviedo, fla.",rb,1,0,9,53,1,11,5.9,53.0
2023,"ashley, qua",integrated health science,70,190,"dublin, ga.",rb,5,0,9,32,0,11,3.6,6.4
2023,"dean, navelle",exercise science,72,185,"columbus, ga.",wr,2,0,0,0,0,0,0.0,0.0
2023,"diggs, alexander",finance,69,200,"snellville, ga.",rb,7,1,26,93,0,20,3.6,13.3
