Name,Position,Major,Height,Weight,Year,Hometown,Season,Rush Attempts,Rush Yards,Rush Touchdowns,Rush Longest,Rush Rush attempt yards pct,Rush Yards per game avg,Receiving Recep,Receiving Yards,Receiving Touchdowns,Receiving Longest,Receiving Per game,Receiving Yards comp pct,Receiving Yards game pct,Defense Solo,Defense Assist,Defense Total,Defense Tfl yards,Defense Sacks yards,Defense Interceptions,Defense Pass defl,Defense Forced fumble,Defense Fumb rec,Defense Blocked,Games Played,Games Started,Year_Scraped,Height_inches
Charles Remy,LB,,"6'1""",210,Fr.,"Kennesaw, Ga.",2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021,73
Jalen Barnum,LB,,"6'1""",210,So.,"Jesup, Ga.",2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,9.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,7.0,0.0,2021,73
Xavier Reddick,LB,,"6'1""",230,Gr.,"Powder Springs, Ga.",2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,17.0,36.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,12.0,3.0,2021,73
Zane McCracken,LS,,"6'2""",200,So.,"Calhoun, Ga.",2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2021,74
Yesiah Clemons,RB,,"5'10""",200,So.,"Griffin, Ga.",2021,1.0,-2.0,0.0,0.0,-2.0,-0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,2021,70
Evan Thompson,LB,,"6'0""",210,Jr.,"Clermont, Fla.",2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,56.0,118.0,12.0,2.0,0.0,4.0,0.0,1.0,0.0,13.0,10.0,2021,72
Terrell Paxton,OL,,"6'0""",310,Jr.,"Stone Mountain, Ga.",2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,9.0,2021,72
Kelcy  Allen,DL,,"6'1""",240,Jr.,"Smith Station, Ala.",2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,8.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,9.0,4.0,2021,73
Demetric Barnes,DL,,"6'4""",295,So.,"Stone Mountain, Ga.",2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,4.0,11.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,2021,76
Tyler Scott,DL,,"6'1""",300,So.,"Jackson, Ga.",2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,12.0,1.0,2021,73
Jake Lassiter,OL,,"6'1""",240,Gr.,"Coral Springs, Fla.",2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,10.0,2021,73
Cameron Donald,DL,,"6'1""",250,So.,"Pelzer, S.C.",2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2021,73
Jordan Love,OL,,"6'2""",290,Fr.,"Rockledge, Fla.",2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,2021,74
Jahon Myers,DL,,"6'3""",250,So.,"Luella, Ga.",2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,12.0,2.5,1.0,0.0,1.0,0.0,0.0,0.0,13.0,1.0,2021,75
Jadyn Walker,LB,,"6'0""",210,Fr.,"Acworth, Ga.",2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,2021,72
Tyler Moore,DL,,"6'1""",250,Sr.,"Phenix City, Ala.",2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,12.0,23.0,1.0,1.0,0.0,0.0,3.0,1.0,0.0,13.0,5.0,2021,73
Steven Carter,LB,,"6'1""",220,Fr.,"Newnan, Ga.",2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021,73
Devin Floyd,OL,,"6'1""",270,So.,"Rome, Ga.",2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2021,73
Darron Willis,OL,,"6'2""",240,So.,"Alpharetta, Ga.",2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2021,74
Tristan Love,OL,,"6'2""",300,Jr.,"Rockledge, Fla.",2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,2021,74
Zion Katina,OL,,"6'2""",285,Jr.,"Franklin, Tenn.",2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,2021,74
Jacob Potter,LS,,"6'0""",235,Sr.,"Adairsville, Ga.",2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,2021,72
Chance Bates,LB,,"6'0""",240,Sr.,"Muscle Shoals, Ala.",2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,20.0,48.0,0.5,0.0,1.0,2.0,0.0,0.0,0.0,13.0,11.0,2021,72
Colton Steele,OL,,"6'3""",295,Fr.,"Jefferson, Ga.",2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2021,75
Matt Olson,OL,,"6'3""",295,Sr.,"Cumming, Ga.",2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,10.0,2021,75
Trenton Jackson,OL,,"6'0""",310,So.,"Hattiesburg, Miss.",2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,3.0,2021,72
Ben Moran,P,,"6'1""",165,Fr.,"Acworth, Ga.",2021,0.0,-9.0,0.0,0.0,0.0,-0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,2021,73
James Dawson,OL,,"6'1""",295,So.,"Opelika, Ala.",2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,4.0,2021,73
Ryan Worley,OL,,"6'2""",260,Fr.,"Pensacola, Fla.",2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021,74
Desmond Scott,DL,,"6'0""",285,Sr.,"Pinson, Ala.",2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,14.0,22.0,2.5,1.5,0.0,0.0,0.0,1.0,1.0,12.0,12.0,2021,72
Hall O'Neal,OL,,"6'2""",255,So.,"Atlanta, Ga.",2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,2021,74
Sean Brown,OL,,"6'2""",265,Sr.,"Macon, Ga.",2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021,74
William Nana Fabu,OL,,"6'1""",275,Sr.,"Columbus, Ga.",2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,8.0,2021,73
Conor Cummins,K,,"6'1""",175,Fr.,"Marietta, Ga.",2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2021,73
William Calhoun,OL,,"6'2""",295,Fr.,"Suwanee, Ga.",2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021,74
Gabriel Thompson,OL,,"6'4""",240,Fr.,"Zephyrhills, Fla.",2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2021,76
Ben  Hollars,OL,,"6'1""",270,Fr.,"Dallas, Ga.",2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021,73
Traveon Latimore,WR,,"6'1""",200,So.,"Colbert, Ga.",2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,2021,73
Connor Finer,TE,,"6'2""",220,Fr.,"New Port Richey, Fla.",2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2021,74
Blake Bohannon,WR,,"6'1""",165,Fr.,"Woodstock, Ga.",2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2021,73
Landon Kardian,WR,,"6'4""",210,Fr.,"Atlanta, Ga.",2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021,76
Caleb O'Neal,WR,,"6'2""",200,Gr.,"Chickamauga, Ga.",2021,0.0,0.0,0.0,0.0,0.0,0.0,19.0,323.0,5.0,51.0,1.5,17.0,24.8,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,12.0,2021,74
Nathan Robertson,K,,"5'10""",160,Sr.,"Columbus, Ga.",2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,2021,70
Evan Fuller,K,,"6'0""",215,So.,"Bremen, Ga.",2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2021,72
Clayton Nelson,WR,,"6'0""",185,Jr.,"Buford, Ga.",2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2021,72
Zechariah Jones,WR,,"6'3""",175,Fr.,"Madison, Fla.",2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021,75
Finn Hazel-Polkinghorne,DL,,"6'4""",280,Fr.,"Williamstown, Australia",2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2021,76
Carlos Allen,DL,,"6'0""",285,So.,"Atlanta, Ga.",2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,10.0,14.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,2021,72
