name,"(2.995, 4.0]","(4.0, 5.0]","(5.0, 6.0]","(6.0, 7.0]","(7.0, 8.0]"
"bryson, davis",-0.6691166034834592,,,,
"murphy, jonathan",,,,,-0.00898341387435515
